NumberOfTrees,AverageScore,BuildTimeIndex,QueryTime
1,3.87429,0.0008578,8.50186
5,3.9781,0.0005537,9.88434
10,4.00832,0.000146,10.3962
20,4.03022,0.0001384,7.94102
50,4.04555,0.0001464,9.22922
100,4.05782,0.0001333,9.54089
200,4.0622,0.0001339,13.4215
500,4.06789,5.46e-05,19.6645
1000,4.07359,0.0001377,33.4406
2000,4.06965,0.0001271,66.7294
